Density (⟨k⟩),Degree Variance,Average Neighbor Degree (⟨kn⟩),Neighbor Degree Variance,Average Clustering Coefficient (⟨C⟩),Clustering Coefficient Variance,Degree Correlation (r),Number of Modules (μ),Average Node Betweenness (⟨wn⟩),Node Betweenness Variance,Average Edge Betweenness (⟨we⟩),Edge Betweenness Variance,Average Closeness (⟨cl⟩),Closeness Variance,Average Path Length (⟨l⟩),Diameter (d),Distance Distribution Mean (⟨dd⟩),Distance Distribution Variance,3-loops (l3),4-Cliques (c4),4-Stars (s4),Graph Energy (G),Average EigenCentrality (⟨eC⟩),EigenCentrality Variance,Algebraic Connectivity (a),Degree Correlation Elasticity (|rmax - rmin|),Rich Club Metric (⟨rc⟩),Rich Club Variance,s-metric/smax,s-metric Elasticity (|smax - smin|),graph_structure,graph_id,node_count,TSNE1,TSNE2,Cluster,DistanceToCentroid,PC1,PC2,PC3
0.222222,0.00987654,0.277778,0.00253772,0.166667,0.0944444,-0.25,0.3,0.216667,0.0632407,0.273333,0.023116,0.381909,0.00645027,0.303704,0.666667,0.273333,0.0282519,0.00833333,0,0.0190476,0.388251,0.273119,0.0254062,0.175534,1.25,0.982001,0.000180424,0.903226,0.129032,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",5000,10,-53.3009,-13.451,6,9.28679,-7.5177,-1.5438,-1.58751
0.533333,0.0241975,0.590317,0.00437032,0.489048,0.0170478,-0.271937,0.2,0.0611111,0.00277853,0.062037,0.000277063,0.681919,0.007272,0.165432,0.333333,0.148889,0.00573333,0.133333,0.00952381,0.590476,0.504619,0.306473,0.00607442,2.20115,0.458732,0.996694,0.0108524,0.98609,0.0340031,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]",5001,10,31.8539,-1.92113,7,13.2098,2.74282,0.648429,0.603879
0.222222,0.0148148,0.311111,0.00609053,0,0,-0.315789,0.4,0.183333,0.0374923,0.246667,0.00266173,0.423927,0.00797692,0.274074,0.555556,0.246667,0.0203901,0,0,0.0333333,0.36245,0.282401,0.0202497,0.311149,1.05263,1.00561,0.00455232,0.876712,0.164384,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",5002,10,-68.4981,14.7458,1,8.56532,-5.65807,-0.365322,-0.534918
0.4,0.0153086,0.442963,0.00363841,0.206667,0.0375111,-0.103064,0.3,0.0833333,0.00356224,0.0925926,0.000689681,0.608396,0.00499023,0.185185,0.333333,0.166667,0.00703704,0.0416667,0,0.195238,0.485165,0.298657,0.0108039,1.44832,0.802228,1.02282,0.0101411,0.975439,0.0561404,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5003,10,-19.8131,47.7589,5,16.1364,0.193147,1.70285,-0.68713
0.755556,0.00691358,0.767725,0.000754178,0.734286,0.00355918,-0.331325,0.2,0.0305556,0.000281593,0.0366013,8.96047e-06,0.807273,0.00307934,0.138272,0.222222,0.124444,0.00377284,0.4,0.114286,1.58095,0.594542,0.315157,0.000675881,4.76393,0.204819,0.863874,0.10746,0.996892,0.00248602,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",5004,10,77.5726,26.4661,8,22.3527,7.62416,0.0389433,-1.77251
0.911111,0.00444444,0.916799,0.000149375,0.9,0.000222978,-0.167504,0.1,0.0111111,9.50728e-06,0.0265583,5.9331e-06,0.921818,0.00319339,0.120988,0.222222,0.108889,0.00221728,0.741667,0,2.96667,0.545804,0.315595,0.000399766,7,0,0,0,0,0,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",5005,10,26.7765,-66.7702,4,13.0632,9.77309,-6.27505,-3.29457
0.222222,0.0148148,0.344444,0.0105247,0.216667,0.155833,-0.805556,0.2,0.225,0.0759954,0.28,0.0317235,0.368875,0.00473027,0.311111,0.555556,0.28,0.0317235,0.00833333,0,0.0380952,0.353432,0.268409,0.0279568,0.144227,0.972222,0.490642,0.240904,0.8,0.2,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",5006,10,-51.6972,-29.9139,6,16.1349,-8.54706,-5.18487,-0.669453
0.222222,0.0123457,0.307407,0.00639232,0.15,0.0913889,-0.52381,0.2,0.233333,0.064537,0.286667,0.0272049,0.363098,0.0052825,0.318519,0.666667,0.286667,0.0346123,0.00833333,0,0.0285714,0.362786,0.258037,0.0334167,0.145385,0.952381,0.824896,0.0476275,0.890625,0.15625,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",5007,10,-54.8339,-17.4255,6,10.7271,-8.44389,-3.35975,-1.10179
0.222222,0.00740741,0.259259,0.00274348,0,0,-0.176471,0.3,0.197222,0.0273843,0.257778,0.0041679,0.406099,0.00711867,0.28642,0.555556,0.257778,0.0234272,0,0,0.0142857,0.390956,0.288904,0.0165344,0.284063,0.980392,0.849715,0.0373363,0.945455,0.0909091,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",5008,10,-57.7673,16.7089,1,4.48424,-5.07094,-0.11494,-2.19365
0.311111,0.014321,0.367593,0.0024357,0.333333,0.133333,-0.197861,0.3,0.119444,0.013185,0.139683,0.00194675,0.523409,0.00647575,0.217284,0.333333,0.195556,0.0106469,0.025,0,0.0809524,0.455176,0.292826,0.0142528,0.729374,1.04813,1.00724,0.000252486,0.946667,0.0933333,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",5009,10,-28.8154,25.3691,9,5.884,-1.89149,1.2387,-0.0685012
